iter	Passed	Remaining
0	4	2959
1	6	2126
2	9	1832
3	10	1662
4	12	1490
5	13	1375
6	15	1340
7	16	1266
8	18	1218
9	19	1174
10	20	1132
11	22	1100
12	23	1078
13	24	1055
14	26	1035
15	27	1016
16	28	1001
17	30	997
18	31	990
19	33	978
20	34	971
21	36	964
22	37	952
23	38	940
24	39	928
25	40	919
26	42	909
27	43	899
28	44	891
29	45	884
30	46	876
31	48	876
32	50	881
33	51	877
34	53	874
35	54	868
36	56	869
37	57	870
38	59	870
39	61	876
40	63	880
41	65	883
42	68	903
43	70	908
44	72	907
45	73	905
46	75	900
47	76	895
48	77	891
49	79	886
50	80	887
51	82	890
52	84	887
53	86	887
54	87	885
55	89	886
56	90	881
57	92	876
58	93	872
59	94	868
60	96	868
61	98	868
62	100	868
63	101	867
64	103	864
65	104	860
66	106	859
67	107	858
68	108	854
69	110	850
70	111	845
71	113	844
72	114	845
73	116	841
74	117	839
75	119	840
76	121	840
77	123	839
78	124	836
79	125	832
80	127	830
81	128	828
82	130	829
83	131	825
84	133	822
85	134	817
86	135	815
87	137	813
88	138	812
89	140	809
90	141	805
91	142	802
92	144	803
93	146	802
94	147	799
95	148	795
96	149	792
97	151	789
98	152	786
99	154	786
100	155	784
101	157	783
102	159	783
103	160	782
104	162	781
105	163	779
106	165	778
107	166	774
108	168	772
109	169	770
110	170	767
111	171	763
112	173	761
113	174	759
114	175	756
115	177	753
116	178	751
117	179	748
118	180	746
119	183	749
120	185	749
121	186	747
122	188	745
123	189	742
124	190	739
125	192	737
126	193	737
127	195	736
128	196	734
129	198	732
130	199	729
131	200	727
132	202	724
133	203	722
134	204	720
135	206	718
136	207	715
137	209	715
138	210	714
139	212	712
140	213	710
141	214	708
142	216	707
143	218	706
144	220	705
145	221	704
146	222	702
147	224	700
148	225	698
149	227	698
150	229	697
151	230	695
152	232	694
153	234	693
154	235	692
155	237	690
156	238	688
157	240	687
158	241	686
159	243	684
160	244	682
161	246	680
162	247	678
163	248	676
164	250	674
165	251	672
166	253	671
167	254	670
168	256	668
169	257	667
170	259	664
171	260	663
172	261	661
173	262	658
174	264	656
175	265	655
176	266	653
177	268	651
178	270	650
179	271	649
180	273	647
181	274	645
182	275	643
183	277	641
184	278	639
185	279	638
186	281	637
187	283	636
188	284	634
189	286	632
190	287	630
191	288	628
192	290	627
193	292	627
194	294	625
195	296	625
196	297	624
197	299	622
198	300	620
199	302	619
200	303	617
201	304	615
202	306	614
203	307	612
204	309	610
205	310	609
206	311	607
207	313	605
208	314	603
209	316	601
210	317	600
211	318	598
212	319	596
213	321	594
214	322	592
215	323	590
216	325	589
217	326	587
218	328	585
219	329	584
220	331	583
221	333	582
222	335	582
223	337	581
224	340	582
225	342	582
226	345	582
227	347	582
228	349	581
229	351	580
230	352	579
231	354	577
232	355	575
233	357	575
234	359	574
235	361	573
236	363	572
237	365	570
238	366	569
239	368	568
240	370	567
241	372	565
242	373	564
243	375	562
244	376	561
245	378	560
246	380	559
247	381	557
248	383	556
249	385	555
250	387	553
251	388	552
252	390	550
253	391	549
254	393	548
255	395	546
256	397	545
257	398	543
258	400	542
259	401	540
260	403	539
261	404	537
262	406	536
263	408	534
264	409	533
265	411	532
266	413	530
267	414	529
268	416	528
269	418	526
270	419	525
271	421	523
272	423	522
273	425	521
274	427	520
275	428	519
276	430	517
277	432	516
278	434	514
279	435	513
280	437	512
281	438	510
282	440	508
283	442	507
284	443	505
285	445	504
286	446	502
287	448	501
